,MONTH,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 21
111,1,2020-01-01,WN,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",1305,6.0,6.0,1850,1846.0,-4.0,0.0,0.0,,,,,,,
884,1,2020-01-01,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1910,14.0,14.0,2145,2144.0,-1.0,0.0,0.0,,,,,,,
885,1,2020-01-01,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",830,20.0,20.0,1100,1103.0,3.0,3.0,0.0,,,,,,,
1127,1,2020-01-02,WN,ATL,"Atlanta, GA",CLE,"Cleveland, OH",820,2.0,2.0,1000,1000.0,0.0,0.0,0.0,,,,,,,
1128,1,2020-01-02,WN,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1645,20.0,20.0,1825,1831.0,6.0,6.0,0.0,,,,,,,
2424,1,2020-01-30,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1235,-3.0,0.0,1505,1449.0,-16.0,0.0,0.0,,,,,,,
2425,1,2020-01-30,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1850,5.0,5.0,2125,2116.0,-9.0,0.0,0.0,,,,,,,
2426,1,2020-01-30,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",910,-7.0,0.0,1140,1119.0,-21.0,0.0,0.0,,,,,,,
2665,1,2020-01-31,WN,ATL,"Atlanta, GA",CLE,"Cleveland, OH",850,-4.0,0.0,1035,1014.0,-21.0,0.0,0.0,,,,,,,
2666,1,2020-01-31,WN,ATL,"Atlanta, GA",CLE,"Cleveland, OH",2000,4.0,4.0,2145,2130.0,-15.0,0.0,0.0,,,,,,,
2872,1,2020-01-31,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",1245,-5.0,0.0,1510,1500.0,-10.0,0.0,0.0,,,,,,,
2873,1,2020-01-31,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",2020,-5.0,0.0,2245,2228.0,-17.0,0.0,0.0,,,,,,,
3114,1,2020-01-31,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",2140,-6.0,0.0,2305,2238.0,-27.0,0.0,0.0,,,,,,,
3115,1,2020-01-31,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1210,-3.0,0.0,1330,1316.0,-14.0,0.0,0.0,,,,,,,
3116,1,2020-01-31,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1650,-1.0,0.0,1815,1757.0,-18.0,0.0,0.0,,,,,,,
3258,1,2020-01-31,WN,CLE,"Cleveland, OH",ATL,"Atlanta, GA",800,0.0,0.0,1005,952.0,-13.0,0.0,0.0,,,,,,,
3259,1,2020-01-31,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",1550,-3.0,0.0,1635,1614.0,-21.0,0.0,0.0,,,,,,,
3260,1,2020-01-31,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",700,-5.0,0.0,750,727.0,-23.0,0.0,0.0,,,,,,,
3261,1,2020-01-31,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1645,-4.0,0.0,1805,1750.0,-15.0,0.0,0.0,,,,,,,
3262,1,2020-01-31,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1000,-1.0,0.0,1125,1057.0,-28.0,0.0,0.0,,,,,,,
3263,1,2020-01-31,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",620,-2.0,0.0,755,725.0,-30.0,0.0,0.0,,,,,,,
3264,1,2020-01-31,WN,CLE,"Cleveland, OH",DEN,"Denver, CO",1050,5.0,5.0,1220,1151.0,-29.0,0.0,0.0,,,,,,,
3265,1,2020-01-31,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1555,-2.0,0.0,1620,1600.0,-20.0,0.0,0.0,,,,,,,
3266,1,2020-01-31,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",605,-3.0,0.0,640,611.0,-29.0,0.0,0.0,,,,,,,
3267,1,2020-01-31,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1115,-8.0,0.0,1140,1113.0,-27.0,0.0,0.0,,,,,,,
3268,1,2020-01-31,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1855,-8.0,0.0,1915,1856.0,-19.0,0.0,0.0,,,,,,,
3269,1,2020-01-31,WN,CLE,"Cleveland, OH",MKE,"Milwaukee, WI",715,-6.0,0.0,750,725.0,-25.0,0.0,0.0,,,,,,,
3270,1,2020-01-31,WN,CLE,"Cleveland, OH",MKE,"Milwaukee, WI",1410,-6.0,0.0,1440,1414.0,-26.0,0.0,0.0,,,,,,,
3271,1,2020-01-31,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",935,-6.0,0.0,1025,959.0,-26.0,0.0,0.0,,,,,,,
3272,1,2020-01-31,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",1920,-5.0,0.0,2000,1946.0,-14.0,0.0,0.0,,,,,,,
3273,1,2020-01-31,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",1215,-4.0,0.0,1300,1237.0,-23.0,0.0,0.0,,,,,,,
3591,1,2020-01-31,WN,DEN,"Denver, CO",CLE,"Cleveland, OH",1815,42.0,42.0,2300,2338.0,38.0,38.0,0.0,,38.0,0.0,0.0,0.0,0.0,
4708,1,2020-01-31,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1350,3.0,3.0,1600,1554.0,-6.0,0.0,0.0,,,,,,,
4709,1,2020-01-31,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",800,-2.0,0.0,1015,1014.0,-1.0,0.0,0.0,,,,,,,
4710,1,2020-01-31,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1625,-1.0,0.0,1840,1820.0,-20.0,0.0,0.0,,,,,,,
4711,1,2020-01-31,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",2225,-8.0,0.0,45,15.0,-30.0,0.0,0.0,,,,,,,
4887,1,2020-01-31,WN,MKE,"Milwaukee, WI",CLE,"Cleveland, OH",655,-4.0,0.0,920,907.0,-13.0,0.0,0.0,,,,,,,
6063,1,2020-01-31,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1235,5.0,5.0,1505,1458.0,-7.0,0.0,0.0,,,,,,,
6064,1,2020-01-31,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1850,4.0,4.0,2125,2115.0,-10.0,0.0,0.0,,,,,,,
6065,1,2020-01-31,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",910,-3.0,0.0,1140,1128.0,-12.0,0.0,0.0,,,,,,,
6507,1,2020-01-06,WN,DEN,"Denver, CO",CLE,"Cleveland, OH",1815,29.0,29.0,2300,2317.0,17.0,17.0,0.0,,15.0,0.0,0.0,0.0,2.0,
7614,1,2020-01-06,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1350,14.0,14.0,1600,1601.0,1.0,1.0,0.0,,,,,,,
7615,1,2020-01-06,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",800,-3.0,0.0,1015,952.0,-23.0,0.0,0.0,,,,,,,
7616,1,2020-01-06,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1625,3.0,3.0,1840,1824.0,-16.0,0.0,0.0,,,,,,,
7617,1,2020-01-06,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",2225,-1.0,0.0,45,22.0,-23.0,0.0,0.0,,,,,,,
7794,1,2020-01-06,WN,MKE,"Milwaukee, WI",CLE,"Cleveland, OH",655,-5.0,0.0,920,845.0,-35.0,0.0,0.0,,,,,,,
8976,1,2020-01-06,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1235,70.0,70.0,1505,1558.0,53.0,53.0,0.0,,0.0,0.0,0.0,0.0,53.0,
8977,1,2020-01-06,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1850,-2.0,0.0,2125,2105.0,-20.0,0.0,0.0,,,,,,,
8978,1,2020-01-06,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",910,-3.0,0.0,1140,1122.0,-18.0,0.0,0.0,,,,,,,
9220,1,2020-01-07,WN,ATL,"Atlanta, GA",CLE,"Cleveland, OH",850,-4.0,0.0,1035,1016.0,-19.0,0.0,0.0,,,,,,,
9221,1,2020-01-07,WN,ATL,"Atlanta, GA",CLE,"Cleveland, OH",2000,0.0,0.0,2145,2135.0,-10.0,0.0,0.0,,,,,,,
9429,1,2020-01-07,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",1245,-4.0,0.0,1510,1458.0,-12.0,0.0,0.0,,,,,,,
9430,1,2020-01-07,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",2020,-6.0,0.0,2245,2236.0,-9.0,0.0,0.0,,,,,,,
9673,1,2020-01-07,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",2140,6.0,6.0,2305,2305.0,0.0,0.0,0.0,,,,,,,
9674,1,2020-01-07,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1210,109.0,109.0,1330,1507.0,97.0,97.0,0.0,,97.0,0.0,0.0,0.0,0.0,
9675,1,2020-01-07,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1650,-3.0,0.0,1815,1817.0,2.0,2.0,0.0,,,,,,,
9819,1,2020-01-07,WN,CLE,"Cleveland, OH",ATL,"Atlanta, GA",800,-5.0,0.0,1005,938.0,-27.0,0.0,0.0,,,,,,,
9820,1,2020-01-07,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",1550,-2.0,0.0,1635,1614.0,-21.0,0.0,0.0,,,,,,,
9821,1,2020-01-07,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",700,-4.0,0.0,750,727.0,-23.0,0.0,0.0,,,,,,,
9822,1,2020-01-07,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1645,-7.0,0.0,1805,1743.0,-22.0,0.0,0.0,,,,,,,
9823,1,2020-01-07,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1000,-3.0,0.0,1125,1058.0,-27.0,0.0,0.0,,,,,,,
9824,1,2020-01-07,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",620,-3.0,0.0,755,722.0,-33.0,0.0,0.0,,,,,,,
9825,1,2020-01-07,WN,CLE,"Cleveland, OH",DEN,"Denver, CO",1050,-7.0,0.0,1220,1142.0,-38.0,0.0,0.0,,,,,,,
9826,1,2020-01-07,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1555,3.0,3.0,1620,1604.0,-16.0,0.0,0.0,,,,,,,
9827,1,2020-01-07,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",605,-5.0,0.0,640,615.0,-25.0,0.0,0.0,,,,,,,
9828,1,2020-01-07,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1115,-9.0,0.0,1140,1110.0,-30.0,0.0,0.0,,,,,,,
9829,1,2020-01-07,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1855,-4.0,0.0,1915,1909.0,-6.0,0.0,0.0,,,,,,,
9830,1,2020-01-07,WN,CLE,"Cleveland, OH",MKE,"Milwaukee, WI",715,-4.0,0.0,750,720.0,-30.0,0.0,0.0,,,,,,,
9831,1,2020-01-07,WN,CLE,"Cleveland, OH",MKE,"Milwaukee, WI",1410,83.0,83.0,1440,1538.0,58.0,58.0,0.0,,0.0,0.0,0.0,0.0,58.0,
9832,1,2020-01-07,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",935,-3.0,0.0,1025,1001.0,-24.0,0.0,0.0,,,,,,,
9833,1,2020-01-07,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",1920,-5.0,0.0,2000,1940.0,-20.0,0.0,0.0,,,,,,,
9834,1,2020-01-07,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",1215,-7.0,0.0,1300,1232.0,-28.0,0.0,0.0,,,,,,,
10153,1,2020-01-07,WN,DEN,"Denver, CO",CLE,"Cleveland, OH",1815,0.0,0.0,2300,2245.0,-15.0,0.0,0.0,,,,,,,
11265,1,2020-01-07,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1350,-2.0,0.0,1600,1548.0,-12.0,0.0,0.0,,,,,,,
11266,1,2020-01-07,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",800,-3.0,0.0,1015,959.0,-16.0,0.0,0.0,,,,,,,
11267,1,2020-01-07,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1625,-5.0,0.0,1840,1820.0,-20.0,0.0,0.0,,,,,,,
11268,1,2020-01-07,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",2225,0.0,0.0,45,21.0,-24.0,0.0,0.0,,,,,,,
11447,1,2020-01-07,WN,MKE,"Milwaukee, WI",CLE,"Cleveland, OH",655,-4.0,0.0,920,855.0,-25.0,0.0,0.0,,,,,,,
12586,1,2020-01-13,WN,DEN,"Denver, CO",CLE,"Cleveland, OH",1815,128.0,128.0,2300,39.0,99.0,99.0,0.0,,69.0,0.0,0.0,0.0,30.0,
13418,1,2020-01-07,MQ,CLE,"Cleveland, OH",ORD,"Chicago, IL",1124,1.0,1.0,1205,1136.0,-29.0,0.0,0.0,,,,,,,
13419,1,2020-01-08,MQ,CLE,"Cleveland, OH",ORD,"Chicago, IL",1124,-5.0,0.0,1205,1157.0,-8.0,0.0,0.0,,,,,,,
