,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
0,2017-04-01,UA,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",735,18.0,18.0,1053.0,17.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,
3,2017-04-01,UA,DEN,"Denver, CO",CLE,"Cleveland, OH",1602,1.0,1.0,2039.0,-15.0,0.0,0.0,,,,,,
4,2017-04-01,UA,SJU,"San Juan, PR",CLE,"Cleveland, OH",1215,0.0,0.0,1641.0,-14.0,0.0,0.0,,,,,,
5,2017-04-01,UA,CLE,"Cleveland, OH",SJU,"San Juan, PR",700,1.0,1.0,1052.0,-23.0,0.0,0.0,,,,,,
6,2017-04-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1525,-7.0,0.0,1712.0,-19.0,0.0,0.0,,,,,,
7,2017-04-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1055,-4.0,0.0,1413.0,-16.0,0.0,0.0,,,,,,
13,2017-04-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1055,-4.0,0.0,1216.0,-19.0,0.0,0.0,,,,,,
14,2017-04-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",730,-3.0,0.0,945.0,-5.0,0.0,0.0,,,,,,
15,2017-04-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",610,-9.0,0.0,730.0,-15.0,0.0,0.0,,,,,,
17,2017-04-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1132,-10.0,0.0,1328.0,-22.0,0.0,0.0,,,,,,
18,2017-04-01,EV,CLE,"Cleveland, OH",ORD,"Chicago, IL",2005,-9.0,0.0,2025.0,-12.0,0.0,0.0,,,,,,
20,2017-04-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1305,-10.0,0.0,1436.0,-21.0,0.0,0.0,,,,,,
21,2017-04-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1800,-9.0,0.0,1915.0,-25.0,0.0,0.0,,,,,,
22,2017-04-01,EV,BOS,"Boston, MA",CLE,"Cleveland, OH",1007,-7.0,0.0,1206.0,-9.0,0.0,0.0,,,,,,
26,2017-04-01,EV,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1740,-2.0,0.0,2020.0,-20.0,0.0,0.0,,,,,,
27,2017-04-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1000,-4.0,0.0,1200.0,-7.0,0.0,0.0,,,,,,
28,2017-04-01,EV,CLE,"Cleveland, OH",DTW,"Detroit, MI",1750,-7.0,0.0,1829.0,-17.0,0.0,0.0,,,,,,
29,2017-04-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",850,181.0,181.0,1327.0,182.0,182.0,0.0,181.0,0.0,1.0,0.0,0.0,
30,2017-04-01,EV,DTW,"Detroit, MI",CLE,"Cleveland, OH",1555,-3.0,0.0,1636.0,-13.0,0.0,0.0,,,,,,
31,2017-04-01,EV,DTW,"Detroit, MI",CLE,"Cleveland, OH",2004,-2.0,0.0,2050.0,-7.0,0.0,0.0,,,,,,
32,2017-04-01,EV,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",710,0.0,0.0,803.0,-17.0,0.0,0.0,,,,,,
33,2017-04-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",1857,7.0,7.0,2045.0,11.0,11.0,0.0,,,,,,
34,2017-04-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",1615,10.0,10.0,1823.0,3.0,3.0,0.0,,,,,,
35,2017-04-01,B6,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",1255,-3.0,0.0,1542.0,-10.0,0.0,0.0,,,,,,
36,2017-04-01,B6,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",923,-8.0,0.0,1203.0,-10.0,0.0,0.0,,,,,,
37,2017-04-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",605,-8.0,0.0,750.0,7.0,7.0,0.0,,,,,,
38,2017-04-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",2055,33.0,33.0,2322.0,24.0,24.0,0.0,23.0,0.0,0.0,0.0,1.0,
40,2017-04-01,AA,CLT,"Charlotte, NC",CLE,"Cleveland, OH",2225,-1.0,0.0,2348.0,-9.0,0.0,0.0,,,,,,
41,2017-04-01,EV,CLE,"Cleveland, OH",BOS,"Boston, MA",740,-5.0,0.0,925.0,-3.0,0.0,0.0,,,,,,
47,2017-04-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",830,21.0,21.0,1019.0,-3.0,0.0,0.0,,,,,,
49,2017-04-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",1625,-5.0,0.0,1947.0,-23.0,0.0,0.0,,,,,,
50,2017-04-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1100,43.0,43.0,1300.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,
51,2017-04-01,EV,EWR,"Newark, NJ",CLE,"Cleveland, OH",2045,-1.0,0.0,2215.0,-13.0,0.0,0.0,,,,,,
52,2017-04-01,EV,ORD,"Chicago, IL",CLE,"Cleveland, OH",1625,2.0,2.0,1830.0,-15.0,0.0,0.0,,,,,,
53,2017-04-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1300,-11.0,0.0,1419.0,-1.0,0.0,0.0,,,,,,
54,2017-04-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1659,-8.0,0.0,1806.0,-21.0,0.0,0.0,,,,,,
55,2017-04-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1440,-5.0,0.0,1637.0,-21.0,0.0,0.0,,,,,,
56,2017-04-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1838,-8.0,0.0,1937.0,-23.0,0.0,0.0,,,,,,
57,2017-04-01,NK,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",907,-14.0,0.0,1553.0,-11.0,0.0,0.0,,,,,,
58,2017-04-01,NK,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1908,4.0,4.0,2027.0,-16.0,0.0,0.0,,,,,,
59,2017-04-01,NK,CLE,"Cleveland, OH",MCO,"Orlando, FL",810,-7.0,0.0,1029.0,-8.0,0.0,0.0,,,,,,
60,2017-04-01,NK,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1810,-15.0,0.0,2025.0,-31.0,0.0,0.0,,,,,,
61,2017-04-01,NK,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1439,-8.0,0.0,1705.0,-20.0,0.0,0.0,,,,,,
66,2017-04-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",1945,-8.0,0.0,2145.0,-20.0,0.0,0.0,,,,,,
67,2017-04-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",1130,-1.0,0.0,1342.0,-8.0,0.0,0.0,,,,,,
71,2017-04-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1320,185.0,185.0,1743.0,188.0,188.0,0.0,108.0,0.0,3.0,0.0,77.0,
72,2017-04-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",2130,29.0,29.0,2311.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,
80,2017-04-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",710,-3.0,0.0,735.0,-10.0,0.0,0.0,,,,,,
81,2017-04-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",1515,-1.0,0.0,1552.0,7.0,7.0,0.0,,,,,,
82,2017-04-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1610,34.0,34.0,1752.0,32.0,32.0,0.0,4.0,0.0,0.0,0.0,28.0,
83,2017-04-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",605,-2.0,0.0,715.0,-5.0,0.0,0.0,,,,,,
84,2017-04-01,WN,CLE,"Cleveland, OH",DEN,"Denver, CO",1820,-5.0,0.0,1927.0,-8.0,0.0,0.0,,,,,,
85,2017-04-01,WN,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1120,-3.0,0.0,1237.0,-13.0,0.0,0.0,,,,,,
86,2017-04-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1505,182.0,182.0,1831.0,191.0,191.0,0.0,0.0,0.0,9.0,0.0,182.0,
87,2017-04-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",640,-4.0,0.0,645.0,-15.0,0.0,0.0,,,,,,
88,2017-04-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",810,-5.0,0.0,828.0,-2.0,0.0,0.0,,,,,,
89,2017-04-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1700,-1.0,0.0,1710.0,-5.0,0.0,0.0,,,,,,
90,2017-04-01,WN,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",800,-1.0,0.0,920.0,-15.0,0.0,0.0,,,,,,
91,2017-04-01,WN,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",1800,-5.0,0.0,1916.0,-14.0,0.0,0.0,,,,,,
92,2017-04-01,WN,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",1425,-4.0,0.0,1537.0,-18.0,0.0,0.0,,,,,,
93,2017-04-01,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",725,-2.0,0.0,752.0,-23.0,0.0,0.0,,,,,,
139,2017-04-01,WN,DEN,"Denver, CO",CLE,"Cleveland, OH",1715,2.0,2.0,2150.0,-5.0,0.0,0.0,,,,,,
144,2017-04-01,WN,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",735,6.0,6.0,1435.0,5.0,5.0,0.0,,,,,,
155,2017-04-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1540,-1.0,0.0,1737.0,-8.0,0.0,0.0,,,,,,
156,2017-04-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",820,1.0,1.0,1019.0,-11.0,0.0,0.0,,,,,,
157,2017-04-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1340,14.0,14.0,1553.0,3.0,3.0,0.0,,,,,,
158,2017-04-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",2150,-5.0,0.0,2341.0,-14.0,0.0,0.0,,,,,,
165,2017-04-01,WN,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",855,25.0,25.0,1605.0,30.0,30.0,0.0,14.0,0.0,5.0,0.0,11.0,
166,2017-04-01,WN,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",1030,-4.0,0.0,1716.0,1.0,1.0,0.0,,,,,,
167,2017-04-01,WN,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",1750,14.0,14.0,42.0,12.0,12.0,0.0,,,,,,
174,2017-04-01,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1835,20.0,20.0,2110.0,5.0,5.0,0.0,,,,,,
182,2017-04-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1720,20.0,20.0,1905.0,4.0,4.0,0.0,,,,,,
183,2017-04-01,UA,DEN,"Denver, CO",CLE,"Cleveland, OH",1756,-5.0,0.0,2229.0,-24.0,0.0,0.0,,,,,,
184,2017-04-01,UA,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",1135,12.0,12.0,1428.0,1.0,1.0,0.0,,,,,,
185,2017-04-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",850,-5.0,0.0,957.0,-19.0,0.0,0.0,,,,,,
186,2017-04-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1100,3.0,3.0,1128.0,-1.0,0.0,0.0,,,,,,
187,2017-04-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1538,-4.0,0.0,1555.0,-10.0,0.0,0.0,,,,,,
188,2017-04-01,UA,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1530,-1.0,0.0,1813.0,-9.0,0.0,0.0,,,,,,
