,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
0,2017-08-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1525,28.0,28.0,1746.0,34.0,34.0,0.0,1.0,0.0,6.0,0.0,27.0,
1,2017-08-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1100,54.0,54.0,1512.0,36.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,
2,2017-08-01,AA,CLT,"Charlotte, NC",CLE,"Cleveland, OH",800,-3.0,0.0,930.0,-7.0,0.0,0.0,,,,,,
4,2017-08-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",835,-10.0,0.0,1008.0,-6.0,0.0,0.0,,,,,,
5,2017-08-01,AA,CLT,"Charlotte, NC",CLE,"Cleveland, OH",2025,-4.0,0.0,2155.0,-5.0,0.0,0.0,,,,,,
9,2017-08-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1509,-7.0,0.0,1640.0,-32.0,0.0,0.0,,,,,,
10,2017-08-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",905,-9.0,0.0,1048.0,-1.0,0.0,0.0,,,,,,
11,2017-08-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1130,-2.0,0.0,1326.0,-1.0,0.0,0.0,,,,,,
12,2017-08-01,NK,CLE,"Cleveland, OH",MYR,"Myrtle Beach, SC",1401,-4.0,0.0,1533.0,-3.0,0.0,0.0,,,,,,
13,2017-08-01,NK,MYR,"Myrtle Beach, SC",CLE,"Cleveland, OH",1742,-10.0,0.0,1905.0,-20.0,0.0,0.0,,,,,,
14,2017-08-01,NK,CLE,"Cleveland, OH",ATL,"Atlanta, GA",605,-4.0,0.0,737.0,-13.0,0.0,0.0,,,,,,
15,2017-08-01,NK,ATL,"Atlanta, GA",CLE,"Cleveland, OH",835,-2.0,0.0,1039.0,18.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,
16,2017-08-01,NK,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1111,30.0,30.0,1330.0,34.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0,
17,2017-08-01,NK,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1930,-5.0,0.0,2250.0,-15.0,0.0,0.0,,,,,,
20,2017-08-01,NK,BOS,"Boston, MA",CLE,"Cleveland, OH",1020,-10.0,0.0,1157.0,-19.0,0.0,0.0,,,,,,
21,2017-08-01,NK,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",1256,-12.0,0.0,1534.0,-9.0,0.0,0.0,,,,,,
22,2017-08-01,NK,CLE,"Cleveland, OH",BOS,"Boston, MA",1905,129.0,129.0,2246.0,106.0,106.0,0.0,0.0,0.0,106.0,0.0,0.0,
23,2017-08-01,NK,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",1534,128.0,128.0,2041.0,136.0,136.0,0.0,0.0,0.0,136.0,0.0,0.0,
26,2017-08-01,NK,MSY,"New Orleans, LA",CLE,"Cleveland, OH",1957,-14.0,0.0,2252.0,-34.0,0.0,0.0,,,,,,
27,2017-08-01,NK,CLE,"Cleveland, OH",MSY,"New Orleans, LA",550,-2.0,0.0,715.0,-2.0,0.0,0.0,,,,,,
45,2017-08-01,OO,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",945,4.0,4.0,1033.0,-12.0,0.0,0.0,,,,,,
53,2017-08-01,OO,CLE,"Cleveland, OH",DTW,"Detroit, MI",1833,2.0,2.0,1921.0,-13.0,0.0,0.0,,,,,,
54,2017-08-01,OO,DTW,"Detroit, MI",CLE,"Cleveland, OH",820,1.0,1.0,911.0,1.0,1.0,0.0,,,,,,
