,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
0,2017-12-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",2025,-7.0,0.0,2339.0,-20.0,0.0,0.0,,,,,,
1,2017-12-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",710,-7.0,0.0,859.0,-27.0,0.0,0.0,,,,,,
14,2017-12-01,F9,CLE,"Cleveland, OH",TPA,"Tampa, FL",610,-4.0,0.0,821.0,-21.0,0.0,0.0,,,,,,
15,2017-12-01,F9,TPA,"Tampa, FL",CLE,"Cleveland, OH",937,-9.0,0.0,1204.0,-11.0,0.0,0.0,,,,,,
16,2017-12-01,F9,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",1315,-1.0,0.0,1535.0,-6.0,0.0,0.0,,,,,,
17,2017-12-01,F9,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",1640,-8.0,0.0,2212.0,-18.0,0.0,0.0,,,,,,
18,2017-12-01,F9,CLE,"Cleveland, OH",MCO,"Orlando, FL",1735,4.0,4.0,1953.0,-19.0,0.0,0.0,,,,,,
19,2017-12-01,F9,MCO,"Orlando, FL",CLE,"Cleveland, OH",745,-6.0,0.0,1022.0,7.0,7.0,0.0,,,,,,
20,2017-12-01,F9,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1110,2.0,2.0,1339.0,-24.0,0.0,0.0,,,,,,
21,2017-12-01,F9,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1505,-7.0,0.0,1745.0,-9.0,0.0,0.0,,,,,,
22,2017-12-01,F9,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1855,-6.0,0.0,2011.0,-31.0,0.0,0.0,,,,,,
23,2017-12-01,F9,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",2135,-11.0,0.0,411.0,-22.0,0.0,0.0,,,,,,
26,2017-12-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",901,19.0,19.0,1137.0,32.0,32.0,0.0,19.0,0.0,13.0,0.0,0.0,
27,2017-12-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1948,35.0,35.0,2152.0,23.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,
29,2017-12-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1140,23.0,23.0,1337.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,
30,2017-12-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1407,-6.0,0.0,1541.0,-9.0,0.0,0.0,,,,,,
31,2017-12-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1935,-6.0,0.0,2139.0,-16.0,0.0,0.0,,,,,,
32,2017-12-01,NK,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",916,-8.0,0.0,1546.0,-28.0,0.0,0.0,,,,,,
33,2017-12-01,NK,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1945,-7.0,0.0,2101.0,-27.0,0.0,0.0,,,,,,
34,2017-12-01,NK,CLE,"Cleveland, OH",TPA,"Tampa, FL",630,-9.0,0.0,845.0,-19.0,0.0,0.0,,,,,,
35,2017-12-01,NK,TPA,"Tampa, FL",CLE,"Cleveland, OH",1453,-12.0,0.0,1707.0,-16.0,0.0,0.0,,,,,,
36,2017-12-01,NK,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",2320,-4.0,0.0,632.0,-14.0,0.0,0.0,,,,,,
37,2017-12-01,NK,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",1709,-9.0,0.0,1856.0,-36.0,0.0,0.0,,,,,,
38,2017-12-01,NK,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1900,-17.0,0.0,2119.0,-21.0,0.0,0.0,,,,,,
39,2017-12-01,NK,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1524,-9.0,0.0,1748.0,-18.0,0.0,0.0,,,,,,
43,2017-12-01,AA,CLT,"Charlotte, NC",CLE,"Cleveland, OH",2224,0.0,0.0,2343.0,-16.0,0.0,0.0,,,,,,
44,2017-12-01,AA,CLE,"Cleveland, OH",PHL,"Philadelphia, PA",1823,-8.0,0.0,1939.0,-6.0,0.0,0.0,,,,,,
45,2017-12-01,AA,PHL,"Philadelphia, PA",CLE,"Cleveland, OH",1600,-6.0,0.0,1732.0,-7.0,0.0,0.0,,,,,,
46,2017-12-01,AA,CLE,"Cleveland, OH",PHL,"Philadelphia, PA",600,487.0,487.0,1535.0,488.0,488.0,0.0,487.0,0.0,1.0,0.0,0.0,
48,2017-12-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1125,-5.0,0.0,1311.0,-19.0,0.0,0.0,,,,,,
49,2017-12-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",710,-4.0,0.0,1049.0,5.0,5.0,0.0,,,,,,
50,2017-12-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1925,-10.0,0.0,2109.0,-21.0,0.0,0.0,,,,,,
51,2017-12-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1500,-5.0,0.0,1819.0,-15.0,0.0,0.0,,,,,,
53,2017-12-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",1026,-8.0,0.0,1149.0,-15.0,0.0,0.0,,,,,,
54,2017-12-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",744,-8.0,0.0,932.0,-19.0,0.0,0.0,,,,,,
55,2017-12-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",1804,-7.0,0.0,1942.0,-2.0,0.0,0.0,,,,,,
56,2017-12-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",1523,-5.0,0.0,1707.0,-22.0,0.0,0.0,,,,,,
57,2017-12-01,B6,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",715,-10.0,0.0,953.0,-16.0,0.0,0.0,,,,,,
58,2017-12-01,B6,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",1935,-7.0,0.0,2213.0,-12.0,0.0,0.0,,,,,,
59,2017-12-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",610,-6.0,0.0,737.0,-12.0,0.0,0.0,,,,,,
60,2017-12-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",2130,1.0,1.0,2329.0,-4.0,0.0,0.0,,,,,,
63,2017-12-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",830,-15.0,0.0,1003.0,-17.0,0.0,0.0,,,,,,
64,2017-12-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1300,-9.0,0.0,1428.0,-14.0,0.0,0.0,,,,,,
67,2017-12-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1100,-9.0,0.0,1203.0,-24.0,0.0,0.0,,,,,,
68,2017-12-01,EV,BOS,"Boston, MA",CLE,"Cleveland, OH",2101,-10.0,0.0,2246.0,-24.0,0.0,0.0,,,,,,
69,2017-12-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1530,-12.0,0.0,1704.0,-16.0,0.0,0.0,,,,,,
70,2017-12-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1100,-13.0,0.0,1247.0,-3.0,0.0,0.0,,,,,,
71,2017-12-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1525,15.0,15.0,1650.0,-2.0,0.0,0.0,,,,,,
72,2017-12-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",614,-7.0,0.0,749.0,-11.0,0.0,0.0,,,,,,
73,2017-12-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1830,-14.0,0.0,2004.0,-13.0,0.0,0.0,,,,,,
74,2017-12-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",810,-7.0,0.0,932.0,-19.0,0.0,0.0,,,,,,
75,2017-12-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1925,35.0,35.0,2131.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,
76,2017-12-01,EV,CLE,"Cleveland, OH",BOS,"Boston, MA",1320,-8.0,0.0,1451.0,-18.0,0.0,0.0,,,,,,
77,2017-12-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1430,-4.0,0.0,1545.0,-12.0,0.0,0.0,,,,,,
78,2017-12-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1725,39.0,39.0,1927.0,35.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,
79,2017-12-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",900,-6.0,0.0,1001.0,-26.0,0.0,0.0,,,,,,
80,2017-12-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1750,-7.0,0.0,1902.0,-15.0,0.0,0.0,,,,,,
81,2017-12-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1305,-4.0,0.0,1516.0,21.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,
82,2017-12-01,EV,BOS,"Boston, MA",CLE,"Cleveland, OH",1539,-9.0,0.0,1722.0,-26.0,0.0,0.0,,,,,,
85,2017-12-01,EV,BOS,"Boston, MA",CLE,"Cleveland, OH",920,-3.0,0.0,1112.0,-24.0,0.0,0.0,,,,,,
86,2017-12-01,EV,MKE,"Milwaukee, WI",CLE,"Cleveland, OH",1835,-14.0,0.0,2022.0,-30.0,0.0,0.0,,,,,,
87,2017-12-01,EV,EWR,"Newark, NJ",CLE,"Cleveland, OH",1250,8.0,8.0,1424.0,-8.0,0.0,0.0,,,,,,
90,2017-12-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1050,-6.0,0.0,1233.0,1.0,1.0,0.0,,,,,,
91,2017-12-01,EV,MKE,"Milwaukee, WI",CLE,"Cleveland, OH",600,-9.0,0.0,820.0,-5.0,0.0,0.0,,,,,,
93,2017-12-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1815,-7.0,0.0,2020.0,-11.0,0.0,0.0,,,,,,
94,2017-12-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",845,-6.0,0.0,1001.0,-12.0,0.0,0.0,,,,,,
95,2017-12-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",915,-12.0,0.0,918.0,-30.0,0.0,0.0,,,,,,
96,2017-12-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1100,-6.0,0.0,1112.0,-19.0,0.0,0.0,,,,,,
97,2017-12-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",2115,-10.0,0.0,2314.0,-21.0,0.0,0.0,,,,,,
98,2017-12-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1528,-6.0,0.0,1535.0,-20.0,0.0,0.0,,,,,,
100,2017-12-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1905,-8.0,0.0,2030.0,-17.0,0.0,0.0,,,,,,
101,2017-12-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",936,-11.0,0.0,1107.0,-7.0,0.0,0.0,,,,,,
102,2017-12-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",640,-8.0,0.0,821.0,1.0,1.0,0.0,,,,,,
103,2017-12-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1753,-3.0,0.0,1808.0,-12.0,0.0,0.0,,,,,,
104,2017-12-01,UA,CLE,"Cleveland, OH",SFO,"San Francisco, CA",600,-3.0,0.0,836.0,-1.0,0.0,0.0,,,,,,
106,2017-12-01,UA,MCO,"Orlando, FL",CLE,"Cleveland, OH",1150,-10.0,0.0,1402.0,-13.0,0.0,0.0,,,,,,
107,2017-12-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1400,-6.0,0.0,1609.0,-8.0,0.0,0.0,,,,,,
