,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
3,2017-02-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1031,-4.0,0.0,1201.0,-17.0,0.0,0.0,,,,,,
4,2017-02-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1300,-12.0,0.0,1420.0,-39.0,0.0,0.0,,,,,,
5,2017-02-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",835,-9.0,0.0,1003.0,-36.0,0.0,0.0,,,,,,
14,2017-02-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1710,-4.0,0.0,1846.0,-15.0,0.0,0.0,,,,,,
28,2017-02-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1457,1.0,1.0,1644.0,-2.0,0.0,0.0,,,,,,
29,2017-02-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1745,-5.0,0.0,1919.0,-34.0,0.0,0.0,,,,,,
30,2017-02-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",1210,-8.0,0.0,1327.0,-23.0,0.0,0.0,,,,,,
33,2017-02-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",700,39.0,39.0,854.0,4.0,4.0,0.0,,,,,,
34,2017-02-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",734,-3.0,0.0,931.0,-24.0,0.0,0.0,,,,,,
37,2017-02-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1100,-10.0,0.0,1218.0,-10.0,0.0,0.0,,,,,,
38,2017-02-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1018,-1.0,0.0,1150.0,-8.0,0.0,0.0,,,,,,
42,2017-02-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",550,-8.0,0.0,739.0,-45.0,0.0,0.0,,,,,,
43,2017-02-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1100,52.0,52.0,1329.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,
44,2017-02-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",630,342.0,342.0,1333.0,335.0,335.0,0.0,0.0,0.0,335.0,0.0,0.0,
