,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
0,2017-01-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",1935,-4.0,0.0,2258.0,-22.0,0.0,0.0,,,,,,
1,2017-01-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",1344,-8.0,0.0,1706.0,-26.0,0.0,0.0,,,,,,
3,2017-01-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1843,-7.0,0.0,2012.0,-13.0,0.0,0.0,,,,,,
8,2017-01-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1003,1.0,1.0,1244.0,14.0,14.0,0.0,,,,,,
9,2017-01-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",742,-6.0,0.0,903.0,-21.0,0.0,0.0,,,,,,
14,2017-01-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",850,0.0,0.0,1033.0,-1.0,0.0,0.0,,,,,,
15,2017-01-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1110,3.0,3.0,1316.0,14.0,14.0,0.0,,,,,,
19,2017-01-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1210,5.0,5.0,1354.0,-2.0,0.0,0.0,,,,,,
20,2017-01-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",2220,32.0,32.0,17.0,8.0,8.0,0.0,,,,,,
25,2017-01-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",600,-5.0,0.0,757.0,-7.0,0.0,0.0,,,,,,
27,2017-01-01,WN,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",1740,5.0,5.0,2319.0,-1.0,0.0,0.0,,,,,,
31,2017-01-01,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1525,-4.0,0.0,1742.0,-13.0,0.0,0.0,,,,,,
35,2017-01-01,AA,CLT,"Charlotte, NC",CLE,"Cleveland, OH",2215,127.0,127.0,139.0,114.0,114.0,0.0,114.0,0.0,0.0,0.0,0.0,
39,2017-01-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1007,-5.0,0.0,1122.0,-28.0,0.0,0.0,,,,,,
43,2017-01-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1230,-21.0,0.0,1343.0,-33.0,0.0,0.0,,,,,,
44,2017-01-01,EV,DTW,"Detroit, MI",CLE,"Cleveland, OH",1956,21.0,21.0,2058.0,6.0,6.0,0.0,,,,,,
45,2017-01-01,EV,CLE,"Cleveland, OH",ATL,"Atlanta, GA",734,3.0,3.0,959.0,20.0,20.0,0.0,3.0,0.0,17.0,0.0,0.0,
46,2017-01-01,EV,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1940,-3.0,0.0,2221.0,-18.0,0.0,0.0,,,,,,
53,2017-01-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",930,-2.0,0.0,1146.0,-4.0,0.0,0.0,,,,,,
54,2017-01-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",2120,14.0,14.0,2350.0,10.0,10.0,0.0,,,,,,
58,2017-01-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1005,-1.0,0.0,1117.0,-8.0,0.0,0.0,,,,,,
59,2017-01-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1555,-1.0,0.0,1701.0,-9.0,0.0,0.0,,,,,,
60,2017-01-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",2215,11.0,11.0,2329.0,-1.0,0.0,0.0,,,,,,
68,2017-01-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",1745,-4.0,0.0,1815.0,-10.0,0.0,0.0,,,,,,
69,2017-01-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",625,1.0,1.0,712.0,2.0,2.0,0.0,,,,,,
70,2017-01-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",540,-3.0,0.0,655.0,-10.0,0.0,0.0,,,,,,
71,2017-01-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1230,-5.0,0.0,1330.0,-10.0,0.0,0.0,,,,,,
72,2017-01-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1830,-2.0,0.0,1933.0,-17.0,0.0,0.0,,,,,,
73,2017-01-01,WN,CLE,"Cleveland, OH",DEN,"Denver, CO",530,-2.0,0.0,638.0,-17.0,0.0,0.0,,,,,,
74,2017-01-01,WN,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",740,-5.0,0.0,902.0,-23.0,0.0,0.0,,,,,,
75,2017-01-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1330,-5.0,0.0,1337.0,-13.0,0.0,0.0,,,,,,
76,2017-01-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1735,0.0,0.0,1736.0,-19.0,0.0,0.0,,,,,,
86,2017-01-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1654,-1.0,0.0,1826.0,-17.0,0.0,0.0,,,,,,
