,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
0,2017-07-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",719,9.0,9.0,938.0,33.0,33.0,0.0,9.0,0.0,24.0,0.0,0.0,
4,2017-07-01,UA,CLE,"Cleveland, OH",IAH,"Houston, TX",1540,-3.0,0.0,1751.0,14.0,14.0,0.0,,,,,,
5,2017-07-01,UA,MCO,"Orlando, FL",CLE,"Cleveland, OH",1150,-7.0,0.0,1359.0,-15.0,0.0,0.0,,,,,,
6,2017-07-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1702,-7.0,0.0,1912.0,27.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,
7,2017-07-01,UA,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",2134,-6.0,0.0,440.0,-24.0,0.0,0.0,,,,,,
8,2017-07-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1923,-4.0,0.0,2126.0,-18.0,0.0,0.0,,,,,,
9,2017-07-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",748,-9.0,0.0,806.0,-9.0,0.0,0.0,,,,,,
10,2017-07-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1802,156.0,156.0,2230.0,170.0,170.0,0.0,0.0,156.0,14.0,0.0,0.0,
11,2017-07-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",1515,298.0,298.0,2135.0,282.0,282.0,0.0,0.0,0.0,282.0,0.0,0.0,
12,2017-07-01,UA,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",1211,-6.0,0.0,1922.0,-20.0,0.0,0.0,,,,,,
13,2017-07-01,UA,CLE,"Cleveland, OH",IAH,"Houston, TX",600,-4.0,0.0,739.0,-16.0,0.0,0.0,,,,,,
14,2017-07-01,UA,SFO,"San Francisco, CA",CLE,"Cleveland, OH",1315,32.0,32.0,2121.0,31.0,31.0,0.0,14.0,0.0,0.0,0.0,17.0,
15,2017-07-01,UA,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",717,-1.0,0.0,900.0,-20.0,0.0,0.0,,,,,,
16,2017-07-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1055,-6.0,0.0,1250.0,-19.0,0.0,0.0,,,,,,
17,2017-07-01,UA,IAD,"Washington, DC",CLE,"Cleveland, OH",1705,76.0,76.0,1927.0,57.0,57.0,0.0,57.0,0.0,0.0,0.0,0.0,
18,2017-07-01,UA,IAH,"Houston, TX",CLE,"Cleveland, OH",710,-2.0,0.0,1045.0,-18.0,0.0,0.0,,,,,,
20,2017-07-01,WN,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1110,-3.0,0.0,1252.0,-8.0,0.0,0.0,,,,,,
23,2017-07-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",1130,0.0,0.0,1349.0,-6.0,0.0,0.0,,,,,,
24,2017-07-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",1940,10.0,10.0,2209.0,4.0,4.0,0.0,,,,,,
28,2017-07-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1330,-2.0,0.0,1440.0,-5.0,0.0,0.0,,,,,,
29,2017-07-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",2150,26.0,26.0,2324.0,19.0,19.0,0.0,13.0,0.0,0.0,0.0,6.0,
33,2017-07-01,WN,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1330,22.0,22.0,1535.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,
