,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
11,2017-06-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1455,11.0,11.0,1642.0,-2.0,0.0,0.0,,,,,,
12,2017-06-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1724,1.0,1.0,1903.0,-10.0,0.0,0.0,,,,,,
25,2017-06-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1033,-1.0,0.0,1218.0,3.0,3.0,0.0,,,,,,
26,2017-06-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1255,-1.0,0.0,1429.0,-15.0,0.0,0.0,,,,,,
27,2017-06-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",2234,-8.0,0.0,6.0,-19.0,0.0,0.0,,,,,,
34,2017-06-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",900,-2.0,0.0,1034.0,-11.0,0.0,0.0,,,,,,
36,2017-06-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",555,-7.0,0.0,726.0,-17.0,0.0,0.0,,,,,,
38,2017-06-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",815,-1.0,0.0,954.0,-5.0,0.0,0.0,,,,,,
39,2017-06-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1040,-2.0,0.0,1219.0,-8.0,0.0,0.0,,,,,,
42,2017-06-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1724,11.0,11.0,1913.0,-2.0,0.0,0.0,,,,,,
43,2017-06-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1955,-6.0,0.0,2131.0,-14.0,0.0,0.0,,,,,,
44,2017-06-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1932,-3.0,0.0,2107.0,-19.0,0.0,0.0,,,,,,
50,2017-06-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1259,-2.0,0.0,1448.0,6.0,6.0,0.0,,,,,,
51,2017-06-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1522,11.0,11.0,1714.0,4.0,4.0,0.0,,,,,,
52,2017-06-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",740,-3.0,0.0,913.0,-13.0,0.0,0.0,,,,,,
55,2017-06-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",2041,2.0,2.0,2215.0,-20.0,0.0,0.0,,,,,,
57,2017-06-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1730,-5.0,0.0,1929.0,-19.0,0.0,0.0,,,,,,
58,2017-06-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",855,-2.0,0.0,1003.0,-17.0,0.0,0.0,,,,,,
59,2017-06-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",915,82.0,82.0,1049.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,
60,2017-06-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1100,-3.0,0.0,1110.0,-15.0,0.0,0.0,,,,,,
63,2017-06-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",2106,4.0,4.0,2306.0,-18.0,0.0,0.0,,,,,,
64,2017-06-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",605,-7.0,0.0,721.0,-18.0,0.0,0.0,,,,,,
65,2017-06-01,UA,IAH,"Houston, TX",CLE,"Cleveland, OH",915,-4.0,0.0,1233.0,-34.0,0.0,0.0,,,,,,
66,2017-06-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",600,97.0,97.0,952.0,94.0,94.0,0.0,1.0,0.0,0.0,0.0,93.0,
67,2017-06-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1655,18.0,18.0,1853.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,
68,2017-06-01,UA,SFO,"San Francisco, CA",CLE,"Cleveland, OH",2225,-6.0,0.0,559.0,-8.0,0.0,0.0,,,,,,
69,2017-06-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1945,-4.0,0.0,2142.0,-16.0,0.0,0.0,,,,,,
71,2017-06-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1900,-6.0,0.0,2043.0,2.0,2.0,0.0,,,,,,
72,2017-06-01,UA,CLE,"Cleveland, OH",SFO,"San Francisco, CA",710,-5.0,0.0,915.0,-16.0,0.0,0.0,,,,,,
73,2017-06-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",1030,-5.0,0.0,1144.0,-21.0,0.0,0.0,,,,,,
74,2017-06-01,UA,MCO,"Orlando, FL",CLE,"Cleveland, OH",1205,-5.0,0.0,1414.0,-18.0,0.0,0.0,,,,,,
75,2017-06-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",800,-4.0,0.0,916.0,-24.0,0.0,0.0,,,,,,
76,2017-06-01,UA,CLE,"Cleveland, OH",MCO,"Orlando, FL",839,-8.0,0.0,1050.0,-18.0,0.0,0.0,,,,,,
77,2017-06-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",1729,-1.0,0.0,1906.0,-3.0,0.0,0.0,,,,,,
78,2017-06-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",820,-1.0,0.0,822.0,-27.0,0.0,0.0,,,,,,
79,2017-06-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1459,-1.0,0.0,1622.0,-15.0,0.0,0.0,,,,,,
80,2017-06-01,UA,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",1300,-7.0,0.0,2032.0,1.0,1.0,0.0,,,,,,
81,2017-06-01,UA,CLE,"Cleveland, OH",IAH,"Houston, TX",555,-6.0,0.0,801.0,-9.0,0.0,0.0,,,,,,
82,2017-06-01,UA,SFO,"San Francisco, CA",CLE,"Cleveland, OH",1202,36.0,36.0,2005.0,20.0,20.0,0.0,2.0,0.0,0.0,0.0,18.0,
83,2017-06-01,UA,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",735,-5.0,0.0,942.0,-5.0,0.0,0.0,,,,,,
84,2017-06-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",2030,-21.0,0.0,2140.0,-40.0,0.0,0.0,,,,,,
85,2017-06-01,EV,CLE,"Cleveland, OH",BOS,"Boston, MA",1245,0.0,0.0,1419.0,-14.0,0.0,0.0,,,,,,
86,2017-06-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1459,-6.0,0.0,1604.0,-18.0,0.0,0.0,,,,,,
87,2017-06-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1733,47.0,47.0,1934.0,33.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,
88,2017-06-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1751,-9.0,0.0,1908.0,-5.0,0.0,0.0,,,,,,
89,2017-06-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1305,10.0,10.0,1450.0,-7.0,0.0,0.0,,,,,,
90,2017-06-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1745,-8.0,0.0,1903.0,-22.0,0.0,0.0,,,,,,
93,2017-06-01,EV,BOS,"Boston, MA",CLE,"Cleveland, OH",1040,-4.0,0.0,1229.0,-19.0,0.0,0.0,,,,,,
97,2017-06-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1300,182.0,182.0,1709.0,169.0,169.0,0.0,9.0,0.0,0.0,0.0,160.0,
98,2017-06-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",2038,-10.0,0.0,2135.0,-24.0,0.0,0.0,,,,,,
99,2017-06-01,EV,RDU,"Raleigh/Durham, NC",CLE,"Cleveland, OH",1910,21.0,21.0,2051.0,0.0,0.0,0.0,,,,,,
100,2017-06-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1455,14.0,14.0,1644.0,-1.0,0.0,0.0,,,,,,
101,2017-06-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",1210,-12.0,0.0,1337.0,-10.0,0.0,0.0,,,,,,
102,2017-06-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",2025,43.0,43.0,37.0,38.0,38.0,0.0,0.0,4.0,0.0,0.0,34.0,
103,2017-06-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",829,-14.0,0.0,944.0,-26.0,0.0,0.0,,,,,,
104,2017-06-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",700,-15.0,0.0,807.0,-30.0,0.0,0.0,,,,,,
109,2017-06-01,NK,BOS,"Boston, MA",CLE,"Cleveland, OH",1020,-3.0,0.0,1212.0,-5.0,0.0,0.0,,,,,,
110,2017-06-01,NK,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",1259,-5.0,0.0,1604.0,16.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,
111,2017-06-01,NK,CLE,"Cleveland, OH",BOS,"Boston, MA",1813,95.0,95.0,2123.0,84.0,84.0,0.0,3.0,0.0,81.0,0.0,0.0,
112,2017-06-01,NK,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",1445,13.0,13.0,1755.0,22.0,22.0,0.0,13.0,0.0,9.0,0.0,0.0,
117,2017-06-01,NK,MSY,"New Orleans, LA",CLE,"Cleveland, OH",1959,-13.0,0.0,2301.0,-25.0,0.0,0.0,,,,,,
118,2017-06-01,NK,CLE,"Cleveland, OH",MSY,"New Orleans, LA",610,-6.0,0.0,724.0,-13.0,0.0,0.0,,,,,,
120,2017-06-01,F9,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",1030,-6.0,0.0,1800.0,-1.0,0.0,0.0,,,,,,
121,2017-06-01,F9,CLE,"Cleveland, OH",RDU,"Raleigh/Durham, NC",1850,-1.0,0.0,2006.0,-15.0,0.0,0.0,,,,,,
122,2017-06-01,F9,RDU,"Raleigh/Durham, NC",CLE,"Cleveland, OH",2110,-2.0,0.0,2232.0,-18.0,0.0,0.0,,,,,,
123,2017-06-01,F9,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",645,-7.0,0.0,916.0,-11.0,0.0,0.0,,,,,,
124,2017-06-01,F9,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1020,-1.0,0.0,1258.0,-7.0,0.0,0.0,,,,,,
125,2017-06-01,F9,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1350,-2.0,0.0,1459.0,-17.0,0.0,0.0,,,,,,
126,2017-06-01,F9,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",1610,-9.0,0.0,2307.0,-15.0,0.0,0.0,,,,,,
127,2017-06-01,F9,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",630,-4.0,0.0,820.0,-10.0,0.0,0.0,,,,,,
130,2017-06-01,F9,MCO,"Orlando, FL",CLE,"Cleveland, OH",835,-5.0,0.0,1105.0,0.0,0.0,0.0,,,,,,
131,2017-06-01,F9,CLE,"Cleveland, OH",MCO,"Orlando, FL",1155,-2.0,0.0,1417.0,-5.0,0.0,0.0,,,,,,
133,2017-06-01,F9,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",700,-2.0,0.0,806.0,-24.0,0.0,0.0,,,,,,
134,2017-06-01,F9,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",930,-5.0,0.0,1619.0,-1.0,0.0,0.0,,,,,,
135,2017-06-01,F9,CLE,"Cleveland, OH",DEN,"Denver, CO",1742,-8.0,0.0,1923.0,23.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,
136,2017-06-01,F9,CLE,"Cleveland, OH",TPA,"Tampa, FL",730,-8.0,0.0,942.0,-21.0,0.0,0.0,,,,,,
137,2017-06-01,F9,TPA,"Tampa, FL",CLE,"Cleveland, OH",1100,-4.0,0.0,1329.0,-9.0,0.0,0.0,,,,,,
138,2017-06-01,F9,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1434,-5.0,0.0,1718.0,3.0,3.0,0.0,,,,,,
139,2017-06-01,F9,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1810,1.0,1.0,2049.0,-9.0,0.0,0.0,,,,,,
140,2017-06-01,F9,MCO,"Orlando, FL",CLE,"Cleveland, OH",1155,-3.0,0.0,1418.0,-8.0,0.0,0.0,,,,,,
141,2017-06-01,F9,CLE,"Cleveland, OH",PDX,"Portland, OR",1525,-2.0,0.0,1724.0,5.0,5.0,0.0,,,,,,
142,2017-06-01,F9,CLE,"Cleveland, OH",MCO,"Orlando, FL",835,-8.0,0.0,1049.0,-15.0,0.0,0.0,,,,,,
143,2017-06-01,F9,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",2135,-10.0,0.0,422.0,-22.0,0.0,0.0,,,,,,
144,2017-06-01,F9,DEN,"Denver, CO",CLE,"Cleveland, OH",1315,-2.0,0.0,1801.0,-15.0,0.0,0.0,,,,,,
145,2017-06-01,F9,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1915,-8.0,0.0,2027.0,-27.0,0.0,0.0,,,,,,
146,2017-06-01,F9,PDX,"Portland, OR",CLE,"Cleveland, OH",2230,-5.0,0.0,537.0,-17.0,0.0,0.0,,,,,,
147,2017-06-01,F9,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1240,26.0,26.0,1448.0,12.0,12.0,0.0,,,,,,
148,2017-06-01,F9,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",1520,9.0,9.0,1634.0,12.0,12.0,0.0,,,,,,
151,2017-06-01,F9,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1015,-19.0,0.0,1233.0,-35.0,0.0,0.0,,,,,,
152,2017-06-01,F9,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1350,-7.0,0.0,1537.0,-1.0,0.0,0.0,,,,,,
153,2017-06-01,UA,DEN,"Denver, CO",CLE,"Cleveland, OH",1605,48.0,48.0,2138.0,41.0,41.0,0.0,6.0,0.0,0.0,0.0,35.0,
154,2017-06-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",733,-10.0,0.0,736.0,-31.0,0.0,0.0,,,,,,
156,2017-06-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1040,-1.0,0.0,1246.0,-12.0,0.0,0.0,,,,,,
157,2017-06-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1415,-7.0,0.0,1420.0,-24.0,0.0,0.0,,,,,,
158,2017-06-01,UA,IAH,"Houston, TX",CLE,"Cleveland, OH",1930,-10.0,0.0,2242.0,-37.0,0.0,0.0,,,,,,
159,2017-06-01,UA,CLE,"Cleveland, OH",SFO,"San Francisco, CA",1930,3.0,3.0,2131.0,-19.0,0.0,0.0,,,,,,
160,2017-06-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",1523,-6.0,0.0,1617.0,-26.0,0.0,0.0,,,,,,
162,2017-06-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",900,12.0,12.0,1341.0,,,0.0,,,,,,
164,2017-06-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",1540,-4.0,0.0,1918.0,-11.0,0.0,0.0,,,,,,
165,2017-06-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1140,1.0,1.0,1345.0,-10.0,0.0,0.0,,,,,,
166,2017-06-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",912,-11.0,0.0,1007.0,-25.0,0.0,0.0,,,,,,
167,2017-06-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1830,148.0,148.0,2255.0,162.0,162.0,0.0,0.0,0.0,162.0,0.0,0.0,
170,2017-06-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1335,148.0,148.0,1730.0,132.0,132.0,0.0,132.0,0.0,0.0,0.0,0.0,
171,2017-06-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",718,-8.0,0.0,1115.0,5.0,5.0,0.0,,,,,,
172,2017-06-01,EV,MKE,"Milwaukee, WI",CLE,"Cleveland, OH",1900,1.0,1.0,2109.0,-5.0,0.0,0.0,,,,,,
173,2017-06-01,EV,DTW,"Detroit, MI",CLE,"Cleveland, OH",2012,-4.0,0.0,2059.0,-8.0,0.0,0.0,,,,,,
174,2017-06-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",645,32.0,32.0,858.0,31.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,
175,2017-06-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1905,14.0,14.0,2043.0,-17.0,0.0,0.0,,,,,,
176,2017-06-01,EV,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",1530,-6.0,0.0,1615.0,-18.0,0.0,0.0,,,,,,
177,2017-06-01,EV,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1945,-4.0,0.0,2228.0,-25.0,0.0,0.0,,,,,,
178,2017-06-01,EV,CLE,"Cleveland, OH",DTW,"Detroit, MI",1025,-6.0,0.0,1104.0,-15.0,0.0,0.0,,,,,,
179,2017-06-01,EV,DTW,"Detroit, MI",CLE,"Cleveland, OH",850,-2.0,0.0,940.0,-8.0,0.0,0.0,,,,,,
180,2017-06-01,EV,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",915,-4.0,0.0,1206.0,-9.0,0.0,0.0,,,,,,
181,2017-06-01,EV,CLE,"Cleveland, OH",RDU,"Raleigh/Durham, NC",740,-3.0,0.0,855.0,-15.0,0.0,0.0,,,,,,
182,2017-06-01,EV,CLE,"Cleveland, OH",DTW,"Detroit, MI",645,6.0,6.0,745.0,7.0,7.0,0.0,,,,,,
183,2017-06-01,EV,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1353,-4.0,0.0,1640.0,-9.0,0.0,0.0,,,,,,
184,2017-06-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",650,-3.0,0.0,821.0,-14.0,0.0,0.0,,,,,,
185,2017-06-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",909,78.0,78.0,1154.0,49.0,49.0,0.0,18.0,0.0,0.0,0.0,31.0,
186,2017-06-01,EV,DTW,"Detroit, MI",CLE,"Cleveland, OH",1353,-3.0,0.0,1445.0,-4.0,0.0,0.0,,,,,,
187,2017-06-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1130,61.0,61.0,1410.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,
188,2017-06-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",910,63.0,63.0,1154.0,64.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0,
189,2017-06-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1405,36.0,36.0,1628.0,40.0,40.0,0.0,0.0,0.0,4.0,0.0,36.0,
190,2017-06-01,EV,CLE,"Cleveland, OH",DTW,"Detroit, MI",1755,-4.0,0.0,1855.0,2.0,2.0,0.0,,,,,,
191,2017-06-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1525,60.0,60.0,1845.0,81.0,81.0,0.0,0.0,13.0,21.0,0.0,47.0,
192,2017-06-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1105,14.0,14.0,1532.0,52.0,52.0,0.0,0.0,14.0,38.0,0.0,0.0,
200,2017-06-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1127,-1.0,0.0,1403.0,36.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,
201,2017-06-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",710,-7.0,0.0,1038.0,-8.0,0.0,0.0,,,,,,
202,2017-06-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1854,119.0,119.0,2234.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,
203,2017-06-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1435,115.0,115.0,2019.0,131.0,131.0,0.0,0.0,0.0,16.0,0.0,115.0,
214,2017-06-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",1005,1.0,1.0,1221.0,-9.0,0.0,0.0,,,,,,
215,2017-06-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",1725,84.0,84.0,2104.0,74.0,74.0,0.0,5.0,0.0,0.0,0.0,69.0,
216,2017-06-01,WN,BNA,"Nashville, TN",CLE,"Cleveland, OH",2055,20.0,20.0,2327.0,12.0,12.0,0.0,,,,,,
221,2017-06-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1035,20.0,20.0,1208.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,
222,2017-06-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",2215,-1.0,0.0,2328.0,-2.0,0.0,0.0,,,,,,
223,2017-06-01,WN,BWI,"Baltimore, MD",CLE,"Cleveland, OH",1635,-5.0,0.0,1744.0,-6.0,0.0,0.0,,,,,,
231,2017-06-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",1415,-3.0,0.0,1438.0,-7.0,0.0,0.0,,,,,,
232,2017-06-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",635,0.0,0.0,659.0,-6.0,0.0,0.0,,,,,,
233,2017-06-01,WN,CLE,"Cleveland, OH",BNA,"Nashville, TN",1800,4.0,4.0,1852.0,17.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,
234,2017-06-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1005,8.0,8.0,1115.0,-5.0,0.0,0.0,,,,,,
235,2017-06-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",2025,61.0,61.0,2235.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,55.0,
236,2017-06-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",605,0.0,0.0,717.0,-3.0,0.0,0.0,,,,,,
237,2017-06-01,WN,CLE,"Cleveland, OH",DEN,"Denver, CO",615,-2.0,0.0,705.0,-25.0,0.0,0.0,,,,,,
238,2017-06-01,WN,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1705,2.0,2.0,1822.0,-8.0,0.0,0.0,,,,,,
239,2017-06-01,WN,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1305,-3.0,0.0,1417.0,-13.0,0.0,0.0,,,,,,
240,2017-06-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1740,-3.0,0.0,1747.0,-8.0,0.0,0.0,,,,,,
241,2017-06-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1920,-5.0,0.0,1927.0,-8.0,0.0,0.0,,,,,,
242,2017-06-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",655,22.0,22.0,728.0,18.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,
243,2017-06-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",840,-2.0,0.0,848.0,-7.0,0.0,0.0,,,,,,
244,2017-06-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1600,0.0,0.0,1616.0,1.0,1.0,0.0,,,,,,
245,2017-06-01,WN,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",800,-3.0,0.0,908.0,-17.0,0.0,0.0,,,,,,
246,2017-06-01,WN,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",1820,12.0,12.0,1937.0,-8.0,0.0,0.0,,,,,,
247,2017-06-01,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",1220,31.0,31.0,1328.0,28.0,28.0,0.0,12.0,0.0,0.0,0.0,16.0,
288,2017-06-01,WN,DEN,"Denver, CO",CLE,"Cleveland, OH",1035,-2.0,0.0,1513.0,-12.0,0.0,0.0,,,,,,
291,2017-06-01,WN,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",920,0.0,0.0,1621.0,1.0,1.0,0.0,,,,,,
