,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
2,2017-03-01,NK,MCO,"Orlando, FL",CLE,"Cleveland, OH",1122,24.0,24.0,1408.0,14.0,14.0,0.0,,,,,,
3,2017-03-01,NK,CLE,"Cleveland, OH",MCO,"Orlando, FL",810,-4.0,0.0,1053.0,16.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,
4,2017-03-01,F9,TPA,"Tampa, FL",CLE,"Cleveland, OH",710,108.0,108.0,1123.0,96.0,96.0,0.0,96.0,0.0,0.0,0.0,0.0,
5,2017-03-01,F9,CLE,"Cleveland, OH",TPA,"Tampa, FL",1033,95.0,95.0,1431.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,74.0,
6,2017-03-01,F9,MCO,"Orlando, FL",CLE,"Cleveland, OH",840,40.0,40.0,1142.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,
7,2017-03-01,F9,CLE,"Cleveland, OH",MCO,"Orlando, FL",1205,23.0,23.0,1450.0,5.0,5.0,0.0,,,,,,
8,2017-03-01,F9,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1720,53.0,53.0,2052.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,
9,2017-03-01,F9,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",2110,29.0,29.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,
10,2017-03-01,F9,MCO,"Orlando, FL",CLE,"Cleveland, OH",1505,143.0,143.0,1946.0,122.0,122.0,0.0,30.0,0.0,3.0,0.0,89.0,
11,2017-03-01,F9,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1845,115.0,115.0,2212.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,
12,2017-03-01,F9,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",2155,85.0,85.0,608.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,
13,2017-03-01,F9,CLE,"Cleveland, OH",MCO,"Orlando, FL",710,14.0,14.0,958.0,-2.0,0.0,0.0,,,,,,
18,2017-03-01,F9,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",1345,-3.0,0.0,1913.0,-25.0,0.0,0.0,,,,,,
19,2017-03-01,F9,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",2025,-4.0,0.0,2239.0,-40.0,0.0,0.0,,,,,,
21,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",915,67.0,67.0,1230.0,69.0,69.0,0.0,67.0,0.0,2.0,0.0,0.0,
22,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1427,61.0,61.0,1717.0,54.0,54.0,0.0,54.0,0.0,0.0,0.0,0.0,
24,2017-03-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1415,-6.0,0.0,1636.0,-3.0,0.0,0.0,,,,,,
25,2017-03-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",1030,-2.0,0.0,1416.0,1.0,1.0,0.0,,,,,,
26,2017-03-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1022,-6.0,0.0,1150.0,-13.0,0.0,0.0,,,,,,
29,2017-03-01,EV,ORD,"Chicago, IL",CLE,"Cleveland, OH",730,27.0,27.0,1018.0,26.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,
30,2017-03-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",550,18.0,18.0,850.0,30.0,30.0,0.0,0.0,18.0,12.0,0.0,0.0,
31,2017-03-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",710,-9.0,0.0,1056.0,-6.0,0.0,0.0,,,,,,
32,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1100,-10.0,0.0,1404.0,69.0,69.0,0.0,0.0,0.0,69.0,0.0,0.0,
33,2017-03-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",630,-2.0,0.0,746.0,-12.0,0.0,0.0,,,,,,
34,2017-03-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",740,-5.0,0.0,849.0,-15.0,0.0,0.0,,,,,,
36,2017-03-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",2001,3.0,3.0,2121.0,-4.0,0.0,0.0,,,,,,
37,2017-03-01,EV,CLE,"Cleveland, OH",BOS,"Boston, MA",1634,44.0,44.0,1901.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,
38,2017-03-01,EV,IAH,"Houston, TX",CLE,"Cleveland, OH",1420,-7.0,0.0,1741.0,-25.0,0.0,0.0,,,,,,
39,2017-03-01,EV,CLE,"Cleveland, OH",MKE,"Milwaukee, WI",1940,-10.0,0.0,2013.0,-3.0,0.0,0.0,,,,,,
41,2017-03-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1127,-7.0,0.0,1321.0,-9.0,0.0,0.0,,,,,,
42,2017-03-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",710,-4.0,0.0,1033.0,-9.0,0.0,0.0,,,,,,
43,2017-03-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1855,14.0,14.0,2112.0,11.0,11.0,0.0,,,,,,
44,2017-03-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1435,-6.0,0.0,1836.0,28.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,
47,2017-03-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1534,-10.0,0.0,1729.0,-11.0,0.0,0.0,,,,,,
48,2017-03-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1115,-10.0,0.0,1427.0,-21.0,0.0,0.0,,,,,,
59,2017-03-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1248,-3.0,0.0,1420.0,-11.0,0.0,0.0,,,,,,
60,2017-03-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1511,-4.0,0.0,1656.0,-14.0,0.0,0.0,,,,,,
61,2017-03-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",2225,51.0,51.0,47.0,31.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,
62,2017-03-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",825,1.0,1.0,1018.0,-10.0,0.0,0.0,,,,,,
63,2017-03-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",715,3.0,3.0,913.0,-9.0,0.0,0.0,,,,,,
65,2017-03-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",620,-2.0,0.0,748.0,-10.0,0.0,0.0,,,,,,
66,2017-03-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",2115,37.0,37.0,2350.0,32.0,32.0,0.0,2.0,0.0,0.0,0.0,30.0,
79,2017-03-01,OO,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",1915,-9.0,0.0,2005.0,-29.0,0.0,0.0,,,,,,
80,2017-03-01,OO,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1530,-2.0,0.0,1822.0,-8.0,0.0,0.0,,,,,,
89,2017-03-01,OO,ORD,"Chicago, IL",CLE,"Cleveland, OH",1047,-1.0,0.0,1300.0,-8.0,0.0,0.0,,,,,,
91,2017-03-01,OO,CLE,"Cleveland, OH",ORD,"Chicago, IL",1341,-9.0,0.0,1358.0,-17.0,0.0,0.0,,,,,,
93,2017-03-01,EV,CLE,"Cleveland, OH",BOS,"Boston, MA",845,-9.0,0.0,1000.0,-39.0,0.0,0.0,,,,,,
94,2017-03-01,EV,CLE,"Cleveland, OH",MKE,"Milwaukee, WI",703,-5.0,0.0,734.0,-5.0,0.0,0.0,,,,,,
99,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",830,-10.0,0.0,1002.0,-26.0,0.0,0.0,,,,,,
101,2017-03-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1050,17.0,17.0,1224.0,6.0,6.0,0.0,,,,,,
102,2017-03-01,EV,BOS,"Boston, MA",CLE,"Cleveland, OH",1856,27.0,27.0,2205.0,60.0,60.0,0.0,21.0,0.0,33.0,0.0,6.0,
103,2017-03-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1535,22.0,22.0,1709.0,10.0,10.0,0.0,,,,,,
104,2017-03-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1248,-3.0,0.0,1512.0,62.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,
105,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",615,-5.0,0.0,747.0,-12.0,0.0,0.0,,,,,,
106,2017-03-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1155,,,,,,1.0,,,,,,
108,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",2030,,,,,,1.0,,,,,,
109,2017-03-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",935,-10.0,0.0,1050.0,-13.0,0.0,0.0,,,,,,
110,2017-03-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1535,65.0,65.0,1825.0,83.0,83.0,0.0,2.0,0.0,18.0,0.0,63.0,
111,2017-03-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1730,9.0,9.0,1905.0,10.0,10.0,0.0,,,,,,
112,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1156,135.0,135.0,1538.0,116.0,116.0,0.0,47.0,0.0,0.0,0.0,69.0,
113,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1700,118.0,118.0,2025.0,105.0,105.0,0.0,51.0,0.0,0.0,0.0,54.0,
114,2017-03-01,EV,RDU,"Raleigh/Durham, NC",CLE,"Cleveland, OH",1912,161.0,161.0,2400.0,186.0,186.0,0.0,23.0,0.0,25.0,0.0,138.0,
115,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1420,137.0,137.0,1822.0,135.0,135.0,0.0,37.0,0.0,66.0,0.0,32.0,
117,2017-03-01,EV,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",704,12.0,12.0,807.0,-18.0,0.0,0.0,,,,,,
118,2017-03-01,EV,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1945,-1.0,0.0,2228.0,-27.0,0.0,0.0,,,,,,
119,2017-03-01,EV,CLE,"Cleveland, OH",RDU,"Raleigh/Durham, NC",745,-4.0,0.0,904.0,-20.0,0.0,0.0,,,,,,
121,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",639,-3.0,0.0,809.0,-24.0,0.0,0.0,,,,,,
122,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",650,-7.0,0.0,815.0,-25.0,0.0,0.0,,,,,,
123,2017-03-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",734,5.0,5.0,953.0,-2.0,0.0,0.0,,,,,,
124,2017-03-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",2020,-9.0,0.0,2330.0,-20.0,0.0,0.0,,,,,,
127,2017-03-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",700,13.0,13.0,848.0,-2.0,0.0,0.0,,,,,,
128,2017-03-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",818,2.0,2.0,954.0,-15.0,0.0,0.0,,,,,,
129,2017-03-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",1210,-9.0,0.0,1353.0,3.0,3.0,0.0,,,,,,
130,2017-03-01,AA,CLT,"Charlotte, NC",CLE,"Cleveland, OH",945,-2.0,0.0,1126.0,-3.0,0.0,0.0,,,,,,
131,2017-03-01,AA,CLT,"Charlotte, NC",CLE,"Cleveland, OH",2225,,,,,,1.0,,,,,,
132,2017-03-01,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",1515,-3.0,0.0,1726.0,-19.0,0.0,0.0,,,,,,
137,2017-03-01,NK,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",907,-1.0,0.0,1558.0,-6.0,0.0,0.0,,,,,,
138,2017-03-01,NK,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1908,29.0,29.0,2114.0,31.0,31.0,0.0,16.0,0.0,2.0,0.0,13.0,
139,2017-03-01,NK,CLE,"Cleveland, OH",TPA,"Tampa, FL",630,0.0,0.0,857.0,-5.0,0.0,0.0,,,,,,
140,2017-03-01,NK,TPA,"Tampa, FL",CLE,"Cleveland, OH",1558,13.0,13.0,1841.0,13.0,13.0,0.0,,,,,,
141,2017-03-01,NK,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",2337,-18.0,0.0,634.0,-29.0,0.0,0.0,,,,,,
142,2017-03-01,NK,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",1644,3.0,3.0,1900.0,7.0,7.0,0.0,,,,,,
143,2017-03-01,NK,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1758,8.0,8.0,2057.0,63.0,63.0,0.0,0.0,0.0,55.0,0.0,8.0,
144,2017-03-01,NK,ATL,"Atlanta, GA",CLE,"Cleveland, OH",929,-5.0,0.0,1058.0,-14.0,0.0,0.0,,,,,,
149,2017-03-01,NK,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",1201,-9.0,0.0,1435.0,-21.0,0.0,0.0,,,,,,
150,2017-03-01,NK,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",1419,23.0,23.0,1724.0,12.0,12.0,0.0,,,,,,
151,2017-03-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1735,71.0,71.0,1949.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,
152,2017-03-01,EV,ORD,"Chicago, IL",CLE,"Cleveland, OH",1345,54.0,54.0,1655.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,
153,2017-03-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1810,,,,,,1.0,,,,,,
154,2017-03-01,EV,MKE,"Milwaukee, WI",CLE,"Cleveland, OH",1853,-8.0,0.0,2133.0,22.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,
156,2017-03-01,EV,BOS,"Boston, MA",CLE,"Cleveland, OH",1109,-14.0,0.0,1304.0,-17.0,0.0,0.0,,,,,,
158,2017-03-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",2135,73.0,73.0,10.0,75.0,75.0,0.0,2.0,13.0,2.0,0.0,58.0,
159,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1540,-8.0,0.0,1723.0,-15.0,0.0,0.0,,,,,,
161,2017-03-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1755,66.0,66.0,2038.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,
163,2017-03-01,EV,DTW,"Detroit, MI",CLE,"Cleveland, OH",2005,68.0,68.0,2156.0,41.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,
167,2017-03-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",1525,-3.0,0.0,1657.0,-9.0,0.0,0.0,,,,,,
