,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
38,2017-05-01,OO,CLE,"Cleveland, OH",ORD,"Chicago, IL",1750,-7.0,0.0,1806.0,-13.0,0.0,0.0,,,,,,
39,2017-05-01,OO,ORD,"Chicago, IL",CLE,"Cleveland, OH",1450,-6.0,0.0,1659.0,-9.0,0.0,0.0,,,,,,
44,2017-05-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1525,-2.0,0.0,1723.0,-1.0,0.0,0.0,,,,,,
45,2017-05-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1105,-4.0,0.0,1420.0,-20.0,0.0,0.0,,,,,,
46,2017-05-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",925,-8.0,0.0,1049.0,-14.0,0.0,0.0,,,,,,
47,2017-05-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",635,-11.0,0.0,817.0,-22.0,0.0,0.0,,,,,,
48,2017-05-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",1857,67.0,67.0,2152.0,78.0,78.0,0.0,0.0,0.0,32.0,0.0,46.0,
49,2017-05-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",1615,32.0,32.0,1913.0,53.0,53.0,0.0,8.0,0.0,21.0,0.0,24.0,
50,2017-05-01,B6,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",1330,-9.0,0.0,1611.0,-16.0,0.0,0.0,,,,,,
51,2017-05-01,B6,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",945,-4.0,0.0,1234.0,-1.0,0.0,0.0,,,,,,
52,2017-05-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",620,7.0,7.0,815.0,17.0,17.0,0.0,7.0,0.0,10.0,0.0,0.0,
53,2017-05-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",2115,86.0,86.0,41.0,83.0,83.0,0.0,18.0,0.0,0.0,0.0,65.0,
54,2017-05-01,NK,CLE,"Cleveland, OH",MYR,"Myrtle Beach, SC",1432,-5.0,0.0,1607.0,0.0,0.0,0.0,,,,,,
55,2017-05-01,NK,MYR,"Myrtle Beach, SC",CLE,"Cleveland, OH",1652,-3.0,0.0,1822.0,-15.0,0.0,0.0,,,,,,
56,2017-05-01,NK,CLE,"Cleveland, OH",ATL,"Atlanta, GA",600,-3.0,0.0,757.0,10.0,10.0,0.0,,,,,,
57,2017-05-01,NK,ATL,"Atlanta, GA",CLE,"Cleveland, OH",841,-1.0,0.0,1020.0,-8.0,0.0,0.0,,,,,,
58,2017-05-01,NK,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1112,-12.0,0.0,1309.0,3.0,3.0,0.0,,,,,,
59,2017-05-01,NK,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",1918,54.0,54.0,2330.0,36.0,36.0,0.0,4.0,0.0,32.0,0.0,0.0,
62,2017-05-01,NK,BOS,"Boston, MA",CLE,"Cleveland, OH",1020,-5.0,0.0,1242.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,
63,2017-05-01,NK,CLE,"Cleveland, OH",FLL,"Fort Lauderdale, FL",1301,16.0,16.0,1620.0,28.0,28.0,0.0,0.0,16.0,12.0,0.0,0.0,
64,2017-05-01,NK,CLE,"Cleveland, OH",BOS,"Boston, MA",1814,96.0,96.0,2131.0,91.0,91.0,0.0,0.0,0.0,91.0,0.0,0.0,
65,2017-05-01,NK,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",1440,-4.0,0.0,1725.0,-4.0,0.0,0.0,,,,,,
72,2017-05-01,F9,SFO,"San Francisco, CA",CLE,"Cleveland, OH",1040,-6.0,0.0,1826.0,1.0,1.0,0.0,,,,,,
73,2017-05-01,F9,CLE,"Cleveland, OH",CLT,"Charlotte, NC",1915,-3.0,0.0,2105.0,9.0,9.0,0.0,,,,,,
74,2017-05-01,F9,CLT,"Charlotte, NC",CLE,"Cleveland, OH",2145,2.0,2.0,2307.0,-14.0,0.0,0.0,,,,,,
75,2017-05-01,F9,CLE,"Cleveland, OH",SFO,"San Francisco, CA",610,-4.0,0.0,810.0,-12.0,0.0,0.0,,,,,,
78,2017-05-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",620,-9.0,0.0,831.0,31.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,
80,2017-05-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",2030,,,,,,1.0,,,,,,
81,2017-05-01,EV,CLE,"Cleveland, OH",BOS,"Boston, MA",1225,12.0,12.0,1428.0,17.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,
82,2017-05-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1423,34.0,34.0,1618.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,
83,2017-05-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",1730,6.0,6.0,1913.0,15.0,15.0,0.0,6.0,0.0,9.0,0.0,0.0,
85,2017-05-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",1738,-11.0,0.0,1917.0,17.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,
86,2017-05-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1308,34.0,34.0,1523.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,
87,2017-05-01,EV,ORD,"Chicago, IL",CLE,"Cleveland, OH",1410,-5.0,0.0,1620.0,-8.0,0.0,0.0,,,,,,
88,2017-05-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1749,,,,,,1.0,,,,,,
