,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
0,2017-11-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",2115,-5.0,0.0,2316.0,-19.0,0.0,0.0,,,,,,
1,2017-11-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1515,-3.0,0.0,1530.0,-12.0,0.0,0.0,,,,,,
3,2017-11-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1840,-7.0,0.0,2017.0,-5.0,0.0,0.0,,,,,,
4,2017-11-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",937,-4.0,0.0,1047.0,-28.0,0.0,0.0,,,,,,
5,2017-11-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",640,0.0,0.0,804.0,-16.0,0.0,0.0,,,,,,
6,2017-11-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1753,-4.0,0.0,1828.0,8.0,8.0,0.0,,,,,,
7,2017-11-01,UA,CLE,"Cleveland, OH",SFO,"San Francisco, CA",529,-6.0,0.0,736.0,-30.0,0.0,0.0,,,,,,
9,2017-11-01,UA,MCO,"Orlando, FL",CLE,"Cleveland, OH",1150,-6.0,0.0,1352.0,-23.0,0.0,0.0,,,,,,
10,2017-11-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1435,-8.0,0.0,1631.0,-21.0,0.0,0.0,,,,,,
11,2017-11-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",1740,-8.0,0.0,1915.0,-12.0,0.0,0.0,,,,,,
12,2017-11-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",600,-8.0,0.0,613.0,-22.0,0.0,0.0,,,,,,
13,2017-11-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1514,-6.0,0.0,1653.0,-4.0,0.0,0.0,,,,,,
14,2017-11-01,UA,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",1150,-11.0,0.0,1857.0,-20.0,0.0,0.0,,,,,,
15,2017-11-01,UA,SFO,"San Francisco, CA",CLE,"Cleveland, OH",1255,-10.0,0.0,2002.0,-27.0,0.0,0.0,,,,,,
16,2017-11-01,UA,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",735,-5.0,0.0,925.0,-39.0,0.0,0.0,,,,,,
18,2017-11-01,UA,CLE,"Cleveland, OH",MCO,"Orlando, FL",815,-6.0,0.0,1032.0,-12.0,0.0,0.0,,,,,,
19,2017-11-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",740,-8.0,0.0,755.0,-20.0,0.0,0.0,,,,,,
20,2017-11-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",2135,-11.0,0.0,2254.0,-23.0,0.0,0.0,,,,,,
22,2017-11-01,NK,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",1202,-8.0,0.0,1350.0,-9.0,0.0,0.0,,,,,,
23,2017-11-01,NK,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",2019,-11.0,0.0,2338.0,-21.0,0.0,0.0,,,,,,
24,2017-11-01,NK,FLL,"Fort Lauderdale, FL",CLE,"Cleveland, OH",1815,-9.0,0.0,2041.0,-21.0,0.0,0.0,,,,,,
25,2017-11-01,NK,CLE,"Cleveland, OH",MCO,"Orlando, FL",830,26.0,26.0,1121.0,24.0,24.0,0.0,2.0,0.0,1.0,0.0,21.0,
26,2017-11-01,NK,MCO,"Orlando, FL",CLE,"Cleveland, OH",1537,-6.0,0.0,1747.0,-18.0,0.0,0.0,,,,,,
32,2017-11-01,OO,CLE,"Cleveland, OH",ORD,"Chicago, IL",1053,-6.0,0.0,1108.0,-12.0,0.0,0.0,,,,,,
33,2017-11-01,OO,ORD,"Chicago, IL",CLE,"Cleveland, OH",715,-5.0,0.0,927.0,-10.0,0.0,0.0,,,,,,
34,2017-11-01,OO,CLE,"Cleveland, OH",ORD,"Chicago, IL",2029,-17.0,0.0,2048.0,-12.0,0.0,0.0,,,,,,
35,2017-11-01,OO,ORD,"Chicago, IL",CLE,"Cleveland, OH",1710,16.0,16.0,1935.0,2.0,2.0,0.0,,,,,,
36,2017-11-01,OO,CLE,"Cleveland, OH",ORD,"Chicago, IL",1813,-9.0,0.0,1909.0,22.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,
37,2017-11-01,OO,ORD,"Chicago, IL",CLE,"Cleveland, OH",1515,-7.0,0.0,1722.0,-14.0,0.0,0.0,,,,,,
40,2017-11-01,OO,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",930,-5.0,0.0,1025.0,-7.0,0.0,0.0,,,,,,
41,2017-11-01,OO,DTW,"Detroit, MI",CLE,"Cleveland, OH",1402,0.0,0.0,1456.0,0.0,0.0,0.0,,,,,,
42,2017-11-01,OO,DTW,"Detroit, MI",CLE,"Cleveland, OH",1736,-4.0,0.0,1822.0,-6.0,0.0,0.0,,,,,,
49,2017-11-01,OO,CLE,"Cleveland, OH",DTW,"Detroit, MI",1015,-6.0,0.0,1051.0,-19.0,0.0,0.0,,,,,,
50,2017-11-01,OO,DTW,"Detroit, MI",CLE,"Cleveland, OH",836,-8.0,0.0,933.0,5.0,5.0,0.0,,,,,,
54,2017-11-01,OO,CLE,"Cleveland, OH",DTW,"Detroit, MI",1224,13.0,13.0,1323.0,8.0,8.0,0.0,,,,,,
57,2017-11-01,OO,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",1537,-3.0,0.0,1639.0,-4.0,0.0,0.0,,,,,,
60,2017-11-01,OO,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",855,20.0,20.0,1205.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,
64,2017-11-01,OO,CLE,"Cleveland, OH",BDL,"Hartford, CT",1905,-6.0,0.0,2031.0,-4.0,0.0,0.0,,,,,,
71,2017-11-01,OO,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",1730,-9.0,0.0,1833.0,-4.0,0.0,0.0,,,,,,
72,2017-11-01,OO,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1340,-5.0,0.0,1637.0,0.0,0.0,0.0,,,,,,
73,2017-11-01,OO,DEN,"Denver, CO",CLE,"Cleveland, OH",1123,-1.0,0.0,1608.0,-5.0,0.0,0.0,,,,,,
74,2017-11-01,OO,CLE,"Cleveland, OH",ORD,"Chicago, IL",1935,-4.0,0.0,2014.0,14.0,14.0,0.0,,,,,,
75,2017-11-01,OO,DEN,"Denver, CO",CLE,"Cleveland, OH",1405,-5.0,0.0,1851.0,-4.0,0.0,0.0,,,,,,
78,2017-11-01,OO,CLE,"Cleveland, OH",DEN,"Denver, CO",1650,-4.0,0.0,1817.0,-3.0,0.0,0.0,,,,,,
81,2017-11-01,OO,ORD,"Chicago, IL",CLE,"Cleveland, OH",700,-6.0,0.0,903.0,-18.0,0.0,0.0,,,,,,
83,2017-11-01,OO,CLE,"Cleveland, OH",DEN,"Denver, CO",1010,-10.0,0.0,1112.0,-20.0,0.0,0.0,,,,,,
84,2017-11-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1705,-9.0,0.0,1836.0,-20.0,0.0,0.0,,,,,,
85,2017-11-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",947,-12.0,0.0,1111.0,-13.0,0.0,0.0,,,,,,
86,2017-11-01,EV,CLE,"Cleveland, OH",RDU,"Raleigh/Durham, NC",750,-4.0,0.0,904.0,-16.0,0.0,0.0,,,,,,
87,2017-11-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",641,-5.0,0.0,808.0,-12.0,0.0,0.0,,,,,,
88,2017-11-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",905,-9.0,0.0,1038.0,-24.0,0.0,0.0,,,,,,
89,2017-11-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1406,-9.0,0.0,1546.0,2.0,2.0,0.0,,,,,,
90,2017-11-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",630,-8.0,0.0,808.0,-4.0,0.0,0.0,,,,,,
91,2017-11-01,EV,RDU,"Raleigh/Durham, NC",CLE,"Cleveland, OH",1908,-4.0,0.0,2034.0,-8.0,0.0,0.0,,,,,,
98,2017-11-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1935,-3.0,0.0,2152.0,-3.0,0.0,0.0,,,,,,
99,2017-11-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1045,-10.0,0.0,1241.0,-21.0,0.0,0.0,,,,,,
100,2017-11-01,UA,DEN,"Denver, CO",CLE,"Cleveland, OH",1540,-6.0,0.0,1959.0,-27.0,0.0,0.0,,,,,,
101,2017-11-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1403,-3.0,0.0,1434.0,4.0,4.0,0.0,,,,,,
103,2017-11-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1739,-9.0,0.0,1942.0,-13.0,0.0,0.0,,,,,,
104,2017-11-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",845,-5.0,0.0,1005.0,-8.0,0.0,0.0,,,,,,
105,2017-11-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",915,-7.0,0.0,922.0,-26.0,0.0,0.0,,,,,,
106,2017-11-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1100,-2.0,0.0,1125.0,-6.0,0.0,0.0,,,,,,
107,2017-11-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",610,-10.0,0.0,739.0,-10.0,0.0,0.0,,,,,,
108,2017-11-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",2130,-5.0,0.0,2315.0,-18.0,0.0,0.0,,,,,,
110,2017-11-01,F9,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",2135,-1.0,0.0,414.0,-19.0,0.0,0.0,,,,,,
111,2017-11-01,F9,CLE,"Cleveland, OH",TPA,"Tampa, FL",610,0.0,0.0,839.0,-3.0,0.0,0.0,,,,,,
112,2017-11-01,F9,TPA,"Tampa, FL",CLE,"Cleveland, OH",937,-3.0,0.0,1205.0,-10.0,0.0,0.0,,,,,,
113,2017-11-01,F9,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",1310,-1.0,0.0,1442.0,6.0,6.0,0.0,,,,,,
114,2017-11-01,F9,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",1545,-2.0,0.0,2249.0,13.0,13.0,0.0,,,,,,
115,2017-11-01,F9,CLE,"Cleveland, OH",MCO,"Orlando, FL",1735,87.0,87.0,2122.0,70.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,
116,2017-11-01,F9,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1105,-4.0,0.0,1342.0,-16.0,0.0,0.0,,,,,,
117,2017-11-01,F9,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1510,-2.0,0.0,1743.0,-16.0,0.0,0.0,,,,,,
118,2017-11-01,F9,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1855,12.0,12.0,2044.0,2.0,2.0,0.0,,,,,,
124,2017-11-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",844,0.0,0.0,1009.0,-21.0,0.0,0.0,,,,,,
125,2017-11-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1455,-4.0,0.0,1652.0,-24.0,0.0,0.0,,,,,,
126,2017-11-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",630,-9.0,0.0,753.0,-18.0,0.0,0.0,,,,,,
127,2017-11-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1220,7.0,7.0,1353.0,-8.0,0.0,0.0,,,,,,
128,2017-11-01,EV,EWR,"Newark, NJ",CLE,"Cleveland, OH",1733,-6.0,0.0,1903.0,-12.0,0.0,0.0,,,,,,
132,2017-11-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",645,-9.0,0.0,752.0,-18.0,0.0,0.0,,,,,,
133,2017-11-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",1115,-5.0,0.0,1324.0,-12.0,0.0,0.0,,,,,,
134,2017-11-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",720,-1.0,0.0,923.0,8.0,8.0,0.0,,,,,,
140,2017-11-01,AA,DFW,"Dallas/Fort Worth, TX",CLE,"Cleveland, OH",2020,5.0,5.0,1.0,8.0,8.0,0.0,,,,,,
141,2017-11-01,B6,CLE,"Cleveland, OH",BOS,"Boston, MA",1026,-6.0,0.0,1152.0,-12.0,0.0,0.0,,,,,,
142,2017-11-01,B6,BOS,"Boston, MA",CLE,"Cleveland, OH",744,-14.0,0.0,942.0,-9.0,0.0,0.0,,,,,,
