,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
1,2017-10-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",724,0.0,0.0,913.0,-6.0,0.0,0.0,,,,,,
2,2017-10-01,F9,CLE,"Cleveland, OH",SFO,"San Francisco, CA",610,-7.0,0.0,821.0,-17.0,0.0,0.0,,,,,,
4,2017-10-01,F9,SFO,"San Francisco, CA",CLE,"Cleveland, OH",1045,-7.0,0.0,1804.0,-31.0,0.0,0.0,,,,,,
5,2017-10-01,F9,CLE,"Cleveland, OH",RDU,"Raleigh/Durham, NC",1925,-6.0,0.0,2042.0,-10.0,0.0,0.0,,,,,,
6,2017-10-01,F9,RDU,"Raleigh/Durham, NC",CLE,"Cleveland, OH",2140,-7.0,0.0,2259.0,-11.0,0.0,0.0,,,,,,
10,2017-10-01,F9,MCO,"Orlando, FL",CLE,"Cleveland, OH",700,-2.0,0.0,924.0,-7.0,0.0,0.0,,,,,,
11,2017-10-01,F9,CLE,"Cleveland, OH",MCO,"Orlando, FL",1030,-9.0,0.0,1244.0,-16.0,0.0,0.0,,,,,,
12,2017-10-01,F9,CLE,"Cleveland, OH",MCO,"Orlando, FL",750,5.0,5.0,1021.0,-1.0,0.0,0.0,,,,,,
13,2017-10-01,F9,CLE,"Cleveland, OH",DEN,"Denver, CO",607,-6.0,0.0,725.0,0.0,0.0,0.0,,,,,,
14,2017-10-01,F9,PDX,"Portland, OR",CLE,"Cleveland, OH",2320,-6.0,0.0,637.0,-17.0,0.0,0.0,,,,,,
15,2017-10-01,F9,CLE,"Cleveland, OH",TPA,"Tampa, FL",845,-4.0,0.0,1057.0,-22.0,0.0,0.0,,,,,,
16,2017-10-01,F9,TPA,"Tampa, FL",CLE,"Cleveland, OH",1215,-13.0,0.0,1420.0,-27.0,0.0,0.0,,,,,,
17,2017-10-01,F9,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1545,6.0,6.0,1825.0,-3.0,0.0,0.0,,,,,,
18,2017-10-01,F9,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1925,-10.0,0.0,2146.0,-20.0,0.0,0.0,,,,,,
19,2017-10-01,F9,DEN,"Denver, CO",CLE,"Cleveland, OH",1335,80.0,80.0,1935.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,65.0,
20,2017-10-01,F9,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1935,56.0,56.0,2204.0,57.0,57.0,0.0,1.0,0.0,1.0,0.0,55.0,
21,2017-10-01,F9,MCO,"Orlando, FL",CLE,"Cleveland, OH",1200,27.0,27.0,1455.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,
22,2017-10-01,F9,CLE,"Cleveland, OH",PDX,"Portland, OR",1540,18.0,18.0,1734.0,-12.0,0.0,0.0,,,,,,
23,2017-10-01,F9,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",710,-1.0,0.0,832.0,-12.0,0.0,0.0,,,,,,
24,2017-10-01,F9,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",945,-6.0,0.0,1620.0,-20.0,0.0,0.0,,,,,,
25,2017-10-01,F9,CLE,"Cleveland, OH",DEN,"Denver, CO",1740,-4.0,0.0,1900.0,2.0,2.0,0.0,,,,,,
26,2017-10-01,F9,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",2130,21.0,21.0,430.0,0.0,0.0,0.0,,,,,,
27,2017-10-01,F9,DEN,"Denver, CO",CLE,"Cleveland, OH",805,145.0,145.0,1517.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,136.0,
28,2017-10-01,F9,CLE,"Cleveland, OH",IAH,"Houston, TX",1359,124.0,124.0,1807.0,125.0,125.0,0.0,0.0,0.0,1.0,0.0,124.0,
29,2017-10-01,F9,IAH,"Houston, TX",CLE,"Cleveland, OH",1700,156.0,156.0,2319.0,146.0,146.0,0.0,24.0,0.0,0.0,0.0,122.0,
