,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
5,2017-09-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1426,42.0,42.0,1636.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,
6,2017-09-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1701,31.0,31.0,1916.0,30.0,30.0,0.0,1.0,0.0,0.0,0.0,29.0,
17,2017-09-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1915,15.0,15.0,2059.0,-1.0,0.0,0.0,,,,,,
18,2017-09-01,DL,DTW,"Detroit, MI",CLE,"Cleveland, OH",2214,11.0,11.0,2303.0,-7.0,0.0,0.0,,,,,,
19,2017-09-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1009,0.0,0.0,1149.0,0.0,0.0,0.0,,,,,,
20,2017-09-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1229,10.0,10.0,1429.0,10.0,10.0,0.0,,,,,,
30,2017-09-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",900,-3.0,0.0,1043.0,-3.0,0.0,0.0,,,,,,
31,2017-09-01,DL,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",2030,-2.0,0.0,2319.0,-8.0,0.0,0.0,,,,,,
33,2017-09-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1633,40.0,40.0,1842.0,23.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,
34,2017-09-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1859,30.0,30.0,2114.0,23.0,23.0,0.0,5.0,0.0,0.0,0.0,18.0,
