"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-12-01,"AS","ADQ","Kodiak, AK","ANC","Anchorage, AK","1655",-11.00,0.00,"1737",-17.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","BET","Bethel, AK","0605",-6.00,0.00,"0724",-2.00,0.00,0.00,,,,,,
2017-12-01,"AS","BET","Bethel, AK","ANC","Anchorage, AK","0810",-6.00,0.00,"0916",-2.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","BET","Bethel, AK","1015",-6.00,0.00,"1144",8.00,8.00,0.00,,,,,,
2017-12-01,"AS","BET","Bethel, AK","ANC","Anchorage, AK","1225",-4.00,0.00,"1335",2.00,2.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","BET","Bethel, AK","1847",-4.00,0.00,"2003",-5.00,0.00,0.00,,,,,,
2017-12-01,"AS","BET","Bethel, AK","ANC","Anchorage, AK","2051",-8.00,0.00,"2150",-9.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","ADQ","Kodiak, AK","0605",72.00,72.00,"0817",74.00,74.00,0.00,0.00,72.00,2.00,0.00,0.00,
2017-12-01,"AS","ADQ","Kodiak, AK","ANC","Anchorage, AK","0755",58.00,58.00,"1000",75.00,75.00,0.00,0.00,0.00,17.00,0.00,58.00,
2017-12-01,"AS","ANC","Anchorage, AK","ADQ","Kodiak, AK","1508",-13.00,0.00,"1600",-6.00,0.00,0.00,,,,,,
2017-12-01,"AS","SCC","Deadhorse, AK","BRW","Barrow, AK","1725",-26.00,0.00,"1750",-24.00,0.00,0.00,,,,,,
